title,description,category,permitted_data_type,code_system,code_value,code_display,method_system,method_display,method_code,permitted_unit_system,permitted_unit_display,permitted_unit_code,component
Complete blood count,Complete blood count,laboratory,quantity,http://loinc.org,    58410-2,Complete blood count panel - ,http://snomed.info/sct,Automated,26604007,http://unitsofmeasure.org,,,"[{  ""code"": {    ""code"": ""718-7"",    ""system"": ""http://loinc.org"",    ""display"": ""Haemoglobin (mass/volume) in blood""  },  ""permitted_data_type"": ""quantity"",  ""permitted_unit"": {    ""code"": ""g/dL"",    ""system"": ""http://unitsofmeasure.org"",    ""display"": ""gram per deciliter""  },  ""qualified_ranges"": [    {      ""conditions"": [        {          ""metric"": ""patient_gender"",          ""operation"": ""equality"",          ""value"": ""male""        }      ],      ""ranges"": [        {""min"": 13.8, ""max"": 17.2, ""interpretation"": {""display"": ""Normal""}},        {""max"": 13.8, ""interpretation"": {""display"": ""Low"", ""color"": ""black""}},        {""min"": 17.2, ""interpretation"": {""display"": ""High"", ""color"": ""red""}}      ]    },    {      ""conditions"": [        {          ""metric"": ""patient_gender"",          ""operation"": ""equality"",          ""value"": ""female""        }      ],      ""ranges"": [        {""min"": 12.1, ""max"": 15.1, ""interpretation"": {""display"": ""Normal""}},        {""max"": 12.1, ""interpretation"": {""display"": ""Low"", ""color"": ""black""}},        {""min"": 15.1, ""interpretation"": {""display"": ""High"", ""color"": ""red""}}      ]    }  ]}]"
Hemoglobin (Venipuncture),Hemoglobin (Venipuncture),laboratory,decimal,http://loinc.org,718-7,Hemoglobin [Mass/volume] in Blood,http://snomed.info/sct,Hb estimation procedure,271026005,http://unitsofmeasure.org,gram/dL,gram/dL,"[  {    ""code"": {""code"": ""718-7"", ""system"": ""http://loinc.org"", ""display"": ""Hemoglobin [Mass/volume] in Blood""},    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {""code"": ""g/dL"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""gram per deciliter""},    ""qualified_ranges"": [      {        ""conditions"": [{""metric"": ""patient_gender"", ""operation"": ""equality"", ""value"": ""male""}],        ""ranges"": [          {""min"": 13, ""max"": 18, ""interpretation"": {""display"": ""Normal""}},          {""max"": 13, ""interpretation"": {""display"": ""Low""}},          {""min"": 18, ""interpretation"": {""display"": ""High""}}        ]      },      {        ""conditions"": [{""metric"": ""patient_gender"", ""operation"": ""equality"", ""value"": ""female""}],        ""ranges"": [          {""min"": 12, ""max"": 16, ""interpretation"": {""display"": ""Normal""}},          {""max"": 12, ""interpretation"": {""display"": ""Low""}},          {""min"": 16, ""interpretation"": {""display"": ""High""}}        ]      },      {        ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 0, ""max"": 1, ""value_type"": ""years""}}],        ""ranges"": [          {""min"": 15, ""max"": 21, ""interpretation"": {""display"": ""Normal""}},          {""max"": 15, ""interpretation"": {""display"": ""Low""}},          {""min"": 21, ""interpretation"": {""display"": ""High""}}        ]      },      {        ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 1, ""max"": 2, ""value_type"": ""years""}}],        ""ranges"": [          {""min"": 11.1, ""max"": 14.9, ""interpretation"": {""display"": ""Normal""}},          {""max"": 11.1, ""interpretation"": {""display"": ""Low""}},          {""min"": 14.9, ""interpretation"": {""display"": ""High""}}        ]      },      {        ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 2, ""max"": 6, ""value_type"": ""years""}}],        ""ranges"": [          {""min"": 11.0, ""max"": 14.0, ""interpretation"": {""display"": ""Normal""}},          {""max"": 11.0, ""interpretation"": {""display"": ""Low""}},          {""min"": 14.0, ""interpretation"": {""display"": ""High""}}        ]      },      {        ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 6, ""max"": 12, ""value_type"": ""years""}}],        ""ranges"": [          {""min"": 11.5, ""max"": 15.5, ""interpretation"": {""display"": ""Normal""}},          {""max"": 11.5, ""interpretation"": {""display"": ""Low""}},          {""min"": 15.5, ""interpretation"": {""display"": ""High""}}        ]      }    ]  }]"
Hemoglobin (Finger Prick),Hemoglobin (Finger Prick),laboratory,decimal,http://loinc.org,30352-9,Hemoglobin [Mass/volume] in capillary blood,http://snomed.info/sct,Hb estimation procedure,271026005,http://unitsofmeasure.org,gram/dL,gram/dL,"[{  ""code"": {""code"": ""30352-9"", ""system"": ""http://loinc.org"", ""display"": ""Hemoglobin [Mass/volume] in Blood""},  ""permitted_data_type"": ""decimal"",  ""permitted_unit"": {""code"": ""g/dL"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""gram per deciliter""},  ""qualified_ranges"": [    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 0, ""max"": 1, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 15, ""max"": 21, ""interpretation"": {""display"": ""Normal""}},        {""max"": 15, ""interpretation"": {""display"": ""Low""}},        {""min"": 21, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 1, ""max"": 2, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 11.1, ""max"": 14.9, ""interpretation"": {""display"": ""Normal""}},        {""max"": 11.1, ""interpretation"": {""display"": ""Low""}},        {""min"": 14.9, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 2, ""max"": 6, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 11.0, ""max"": 14.0, ""interpretation"": {""display"": ""Normal""}},        {""max"": 11.0, ""interpretation"": {""display"": ""Low""}},        {""min"": 14.0, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 6, ""max"": 12, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 11.5, ""max"": 15.5, ""interpretation"": {""display"": ""Normal""}},        {""max"": 11.5, ""interpretation"": {""display"": ""Low""}},        {""min"": 15.5, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_gender"", ""operation"": ""equality"", ""value"": ""male""}],      ""ranges"": [        {""min"": 13, ""max"": 18, ""interpretation"": {""display"": ""Normal""}},        {""max"": 13, ""interpretation"": {""display"": ""Low""}},        {""min"": 18, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_gender"", ""operation"": ""equality"", ""value"": ""female""}],      ""ranges"": [        {""min"": 12, ""max"": 16, ""interpretation"": {""display"": ""Normal""}},        {""max"": 12, ""interpretation"": {""display"": ""Low""}},        {""min"": 16, ""interpretation"": {""display"": ""High""}}      ]    }  ]}]"
Total leucocyte count,Total leucocyte count,laboratory,integer,http://loinc.org,6690-2,Leukocytes [#/volume] in Blood by Automated count,http://snomed.info/sct,WBC Estimation,42396003,http://unitsofmeasure.org,cells/µL,cells/µL,"[{  ""code"": {""code"": ""6690-2"", ""system"": ""http://loinc.org"", ""display"": ""Leukocytes [#/volume] in Blood by Automated count""},  ""permitted_data_type"": ""integer"",  ""permitted_unit"": {""code"": ""/uL"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""cells per microliter""},  ""qualified_ranges"": [    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 0, ""max"": 0.08, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 7000, ""max"": 23000, ""interpretation"": {""display"": ""Normal""}},        {""max"": 7000, ""interpretation"": {""display"": ""Low""}},        {""min"": 23000, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 0.08, ""max"": 1, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 6000, ""max"": 16000, ""interpretation"": {""display"": ""Normal""}},        {""max"": 6000, ""interpretation"": {""display"": ""Low""}},        {""min"": 16000, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 2, ""max"": 6, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 5000, ""max"": 15000, ""interpretation"": {""display"": ""Normal""}},        {""max"": 5000, ""interpretation"": {""display"": ""Low""}},        {""min"": 15000, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 6, ""max"": 12, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 5000, ""max"": 13000, ""interpretation"": {""display"": ""Normal""}},        {""max"": 5000, ""interpretation"": {""display"": ""Low""}},        {""min"": 13000, ""interpretation"": {""display"": ""High""}}      ]    },    {      ""conditions"": [{""metric"": ""patient_age"", ""operation"": ""in_range"", ""value"": {""min"": 12, ""max"": 120, ""value_type"": ""years""}}],      ""ranges"": [        {""min"": 4000, ""max"": 11000, ""interpretation"": {""display"": ""Normal""}},        {""max"": 4000, ""interpretation"": {""display"": ""Low""}},        {""min"": 11000, ""interpretation"": {""display"": ""High""}}      ]    }  ]}]"
Differential leucocyte count,Differential leucocyte count,laboratory,integer,http://loinc.org,57021-8,CBC W Auto Differential panel - Blood,http://snomed.info/sct,Differential white cell count estimation procedure,165511009,http://unitsofmeasure.org,Percentage,Percentage,"[  {    ""code"": {""code"": ""770-8"", ""system"": ""http://loinc.org"", ""display"": ""Neutrophils [#/volume] in Blood by Automated count""},    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {""code"": ""%"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""percent""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 40, ""max"": 75, ""interpretation"": {""display"": ""Normal""}},          {""max"": 40, ""interpretation"": {""display"": ""Low""}},          {""min"": 75, ""interpretation"": {""display"": ""High""}}        ]      }    ]  },  {    ""code"": {""code"": ""736-9"", ""system"": ""http://loinc.org"", ""display"": ""Lymphocytes [#/volume] in Blood by Automated count""},    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {""code"": ""%"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""percent""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 20, ""max"": 45, ""interpretation"": {""display"": ""Normal""}},          {""max"": 20, ""interpretation"": {""display"": ""Low""}},          {""min"": 45, ""interpretation"": {""display"": ""High""}}        ]      }    ]  },  {    ""code"": {""code"": ""5905-5"", ""system"": ""http://loinc.org"", ""display"": ""Monocytes [#/volume] in Blood by Automated count""},    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {""code"": ""%"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""percent""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 2, ""max"": 10, ""interpretation"": {""display"": ""Normal""}},          {""max"": 2, ""interpretation"": {""display"": ""Low""}},          {""min"": 10, ""interpretation"": {""display"": ""High""}}        ]      }    ]  },  {    ""code"": {""code"": ""713-8"", ""system"": ""http://loinc.org"", ""display"": ""Eosinophils [#/volume] in Blood by Automated count""},    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {""code"": ""%"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""percent""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 1, ""max"": 6, ""interpretation"": {""display"": ""Normal""}},          {""max"": 1, ""interpretation"": {""display"": ""Low""}},          {""min"": 6, ""interpretation"": {""display"": ""High""}}        ]      }    ]  },  {    ""code"": {""code"": ""706-2"", ""system"": ""http://loinc.org"", ""display"": ""Basophils [#/volume] in Blood by Automated count""},    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {""code"": ""%"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""percent""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 0, ""max"": 2, ""interpretation"": {""display"": ""Normal""}},          {""min"": 2, ""interpretation"": {""display"": ""High""}}        ]      }    ]  }]"
Platelet count,Platelet count,laboratory,integer,http://loinc.org,777-3,Platelets [#/volume] in Blood by Automated count,http://snomed.info/sct,Platelet count estimation procedure,61928009,http://unitsofmeasure.org,cells/µL,cells/µL,"[  {    ""code"": {""code"": ""777-3"", ""system"": ""http://loinc.org"", ""display"": ""Platelets [#/volume] in Blood by Automated count""},    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {""code"": ""/uL"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""cells per microliter""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 150000, ""max"": 450000, ""interpretation"": {""display"": ""Normal""}},          {""max"": 150000, ""interpretation"": {""display"": ""Low""}},          {""min"": 450000, ""interpretation"": {""display"": ""High""}}        ]      }    ]  }]"
Absolute eosinophil count,Absolute eosinophil count,laboratory,integer,http://loinc.org,711-2,Eosinophils [#/volume] in Blood by Automated count,http://snomed.info/sct,eosinophil count estimation procedure,71960002,http://unitsofmeasure.org,cells/µL,cells/µL,"[  {    ""code"": {""code"": ""711-2"", ""system"": ""http://loinc.org"", ""display"": ""Eosinophils [#/volume] in Blood by Automated count""},    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {""code"": ""/uL"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""cells per microliter""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 20, ""max"": 520, ""interpretation"": {""display"": ""Normal""}},          {""max"": 20, ""interpretation"": {""display"": ""Low""}},          {""min"": 520, ""interpretation"": {""display"": ""High""}}        ]      }    ]  }]"
Peripheral blood film,Peripheral blood film,laboratory,string,http://loinc.org,104701-8,Blood smear finding [Identifier] in Blood,http://snomed.info/sct,Microscopic examination of stained blood smear,14768001,http://unitsofmeasure.org,,,"[  {    ""code"": {""code"": ""6742-1"", ""system"": ""http://loinc.org"", ""display"": ""Red Cell Morphology [Interpretation] in Blood""},    ""permitted_data_type"": ""boolean"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {""code"": ""11156-7"", ""system"": ""http://loinc.org"", ""display"": ""White Cell Morphology [Interpretation] in Blood""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {""code"": ""11125-2"", ""system"": ""http://loinc.org"", ""display"": ""Platelet Assessment [Interpretation] in Blood""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {""code"": ""24429-3"", ""system"": ""http://loinc.org"", ""display"": ""Parasite Screening [Presence] in Blood""},    ""permitted_data_type"": ""boolean"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {""code"": ""62365-2"", ""system"": ""http://loinc.org"", ""display"": ""Impression/Summary [Interpretation]""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Blood group (ABO),Blood group (ABO),laboratory,string,http://loinc.org,883-9,ABO group [Type] in Blood,http://snomed.info/sct,Agglutination method (slide or tube),82383000,http://unitsofmeasure.org,,,"[  {    ""code"": {""code"": ""883-9"", ""system"": ""http://loinc.org"", ""display"": ""ABO Group [Type] in Blood""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {""code"": ""10331-7"", ""system"": ""http://loinc.org"", ""display"": ""Rh [Type] in Blood""},    ""permitted_data_type"": ""boolean"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Blood group (Rh typing),Blood group (Rh typing),laboratory,string,http://loinc.org,10331-7,Rh type in blood,http://snomed.info/sct,Rh Blood grouping,363783003,http://unitsofmeasure.org,,,"[  {    ""code"": {""code"": ""10331-7"", ""system"": ""http://loinc.org"", ""display"": ""Rh [Type] in Blood""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
